,fp,tp,fn,sens,ppv,type_
1096,1.0,7.0,0.0,1.0,0.875,Property
1097,0.0,5.0,3.0,0.625,1.0,Property
1098,1.0,7.0,2.0,0.7777777777777778,0.875,Property
1099,1.0,19.0,5.0,0.7916666666666666,0.95,Property
1100,1.0,19.0,5.0,0.7916666666666666,0.95,Property
1101,1.0,19.0,1.0,0.95,0.95,Property
1102,0.0,5.0,4.0,0.5555555555555556,1.0,Property
1103,2.0,18.0,3.0,0.8571428571428571,0.9,Property
1104,0.0,12.0,6.0,0.6666666666666666,1.0,Property
1105,1.0,12.0,4.0,0.75,0.9230769230769231,Property
1106,0.0,10.0,4.0,0.7142857142857143,1.0,Property
1107,0.0,16.0,5.0,0.7619047619047619,1.0,Property
1108,1.0,11.0,4.0,0.7333333333333333,0.9166666666666666,Property
1109,1.0,24.0,2.0,0.9230769230769231,0.96,Property
1110,0.0,16.0,5.0,0.7619047619047619,1.0,Property
1111,0.0,19.0,9.0,0.6785714285714286,1.0,Property
1112,1.0,18.0,12.0,0.6,0.9473684210526315,Property
1113,0.0,22.0,5.0,0.8148148148148148,1.0,Property
1114,1.0,22.0,2.0,0.9166666666666666,0.9565217391304348,Property
1115,0.0,18.0,8.0,0.6923076923076923,1.0,Property
1116,0.0,24.0,4.0,0.8571428571428571,1.0,Property
1117,0.0,19.0,2.0,0.9047619047619048,1.0,Property
1118,2.0,35.0,2.0,0.9459459459459459,0.9459459459459459,Property
1119,1.0,35.0,9.0,0.7954545454545454,0.9722222222222222,Property
1120,2.0,37.0,7.0,0.8409090909090909,0.9487179487179487,Property
1121,1.0,37.0,6.0,0.8604651162790697,0.9736842105263158,Property
1122,0.0,35.0,8.0,0.813953488372093,1.0,Property
1123,0.0,35.0,5.0,0.875,1.0,Property
1124,0.0,24.0,4.0,0.8571428571428571,1.0,Property
1125,0.0,19.0,5.0,0.7916666666666666,1.0,Property
1126,1.0,26.0,3.0,0.896551724137931,0.9629629629629629,Property
1127,0.0,35.0,7.0,0.8333333333333334,1.0,Property
1128,1.0,24.0,8.0,0.75,0.96,Property
1129,1.0,24.0,3.0,0.8888888888888888,0.96,Property
1130,0.0,31.0,5.0,0.8611111111111112,1.0,Property
1131,0.0,29.0,6.0,0.8285714285714286,1.0,Property
1132,0.0,19.0,3.0,0.8636363636363636,1.0,Property
1133,0.0,24.0,5.0,0.8275862068965517,1.0,Property
1134,2.0,25.0,7.0,0.78125,0.9259259259259259,Property
1135,1.0,28.0,8.0,0.7777777777777778,0.9655172413793104,Property
1136,0.0,31.0,5.0,0.8611111111111112,1.0,Property
1137,0.0,27.0,4.0,0.8709677419354839,1.0,Property
1138,2.0,39.0,6.0,0.8666666666666667,0.9512195121951219,Property
1139,0.0,31.0,3.0,0.9117647058823529,1.0,Property
1140,0.0,36.0,9.0,0.8,1.0,Property
1141,1.0,29.0,6.0,0.8285714285714286,0.9666666666666667,Property
1142,0.0,48.0,6.0,0.8888888888888888,1.0,Property
1143,0.0,35.0,13.0,0.7291666666666666,1.0,Property
1144,1.0,36.0,5.0,0.8780487804878049,0.972972972972973,Property
1145,0.0,30.0,4.0,0.8823529411764706,1.0,Property
1146,2.0,22.0,6.0,0.7857142857142857,0.9166666666666666,Property
1147,0.0,31.0,6.0,0.8378378378378378,1.0,Property
1148,2.0,33.0,7.0,0.825,0.9428571428571428,Property
1149,1.0,30.0,4.0,0.8823529411764706,0.967741935483871,Property
1150,2.0,39.0,7.0,0.8478260869565217,0.9512195121951219,Property
1151,0.0,33.0,1.0,0.9705882352941176,1.0,Property
1152,1.0,16.0,1.0,0.9411764705882353,0.9411764705882353,Property
1153,0.0,23.0,3.0,0.8846153846153846,1.0,Property
1154,1.0,30.0,5.0,0.8571428571428571,0.967741935483871,Property
1155,0.0,19.0,4.0,0.8260869565217391,1.0,Property
1156,0.0,16.0,4.0,0.8,1.0,Property
1096,0.0,12.0,0.0,1.0,1.0,Violent
1097,0.0,6.0,9.0,0.4,1.0,Violent
1098,0.0,15.0,5.0,0.75,1.0,Violent
1099,0.0,12.0,5.0,0.7058823529411765,1.0,Violent
1100,0.0,3.0,1.0,0.75,1.0,Violent
1101,0.0,8.0,2.0,0.8,1.0,Violent
1102,0.0,11.0,4.0,0.7333333333333333,1.0,Violent
1103,0.0,14.0,9.0,0.6086956521739131,1.0,Violent
1104,0.0,9.0,6.0,0.6,1.0,Violent
1105,0.0,7.0,2.0,0.7777777777777778,1.0,Violent
1106,0.0,6.0,0.0,1.0,1.0,Violent
1107,0.0,7.0,4.0,0.6363636363636364,1.0,Violent
1108,0.0,16.0,4.0,0.8,1.0,Violent
1109,0.0,13.0,4.0,0.7647058823529411,1.0,Violent
1110,0.0,12.0,5.0,0.7058823529411765,1.0,Violent
1111,0.0,20.0,6.0,0.7692307692307693,1.0,Violent
1112,0.0,20.0,9.0,0.6896551724137931,1.0,Violent
1113,0.0,7.0,3.0,0.7,1.0,Violent
1114,0.0,11.0,3.0,0.7857142857142857,1.0,Violent
1115,0.0,10.0,6.0,0.625,1.0,Violent
1116,0.0,10.0,1.0,0.9090909090909091,1.0,Violent
1117,0.0,20.0,5.0,0.8,1.0,Violent
1118,0.0,17.0,3.0,0.85,1.0,Violent
1119,0.0,16.0,4.0,0.8,1.0,Violent
1120,0.0,20.0,3.0,0.8695652173913043,1.0,Violent
1121,0.0,17.0,6.0,0.7391304347826086,1.0,Violent
1122,0.0,17.0,3.0,0.85,1.0,Violent
1123,0.0,17.0,2.0,0.8947368421052632,1.0,Violent
1124,1.0,35.0,5.0,0.875,0.9722222222222222,Violent
1125,0.0,22.0,5.0,0.8148148148148148,1.0,Violent
1126,0.0,19.0,3.0,0.8636363636363636,1.0,Violent
1127,0.0,24.0,5.0,0.8275862068965517,1.0,Violent
1128,0.0,17.0,3.0,0.85,1.0,Violent
1129,0.0,11.0,3.0,0.7857142857142857,1.0,Violent
1130,0.0,14.0,5.0,0.7368421052631579,1.0,Violent
1131,0.0,19.0,2.0,0.9047619047619048,1.0,Violent
1132,0.0,22.0,5.0,0.8148148148148148,1.0,Violent
1133,0.0,23.0,6.0,0.7931034482758621,1.0,Violent
1134,0.0,14.0,0.0,1.0,1.0,Violent
1135,0.0,12.0,2.0,0.8571428571428571,1.0,Violent
1136,1.0,14.0,3.0,0.8235294117647058,0.9333333333333333,Violent
1137,0.0,20.0,0.0,1.0,1.0,Violent
1138,0.0,22.0,3.0,0.88,1.0,Violent
1139,0.0,29.0,7.0,0.8055555555555556,1.0,Violent
1140,0.0,30.0,6.0,0.8333333333333334,1.0,Violent
1141,0.0,26.0,2.0,0.9285714285714286,1.0,Violent
1142,0.0,11.0,3.0,0.7857142857142857,1.0,Violent
1143,0.0,17.0,2.0,0.8947368421052632,1.0,Violent
1144,0.0,15.0,2.0,0.8823529411764706,1.0,Violent
1145,0.0,15.0,1.0,0.9375,1.0,Violent
1146,0.0,10.0,4.0,0.7142857142857143,1.0,Violent
1147,0.0,18.0,2.0,0.9,1.0,Violent
1148,0.0,12.0,4.0,0.75,1.0,Violent
1149,0.0,18.0,4.0,0.8181818181818182,1.0,Violent
1150,0.0,21.0,5.0,0.8076923076923077,1.0,Violent
1151,0.0,21.0,2.0,0.9130434782608695,1.0,Violent
1152,0.0,17.0,4.0,0.8095238095238095,1.0,Violent
1153,0.0,21.0,6.0,0.7777777777777778,1.0,Violent
1154,1.0,23.0,4.0,0.8518518518518519,0.9583333333333334,Violent
1155,1.0,12.0,3.0,0.8,0.9230769230769231,Violent
1156,0.0,5.0,1.0,0.8333333333333334,1.0,Violent
